No Throttle Input - No Load
Trial: 4
Date: 3-31-2023
Time: 10:33 AM
Ambient Temp: 80
Head Temp: 196.1

------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.013000   Ki: 0.025000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
90,0.00,0,0,0,0,0.00,0,0,0
140,0.00,0,0,0,0,0.00,0,0,0
190,0.00,0,0,0,0,0.00,0,0,0
240,0.00,0,0,0,0,0.00,0,0,0
290,0.00,0,0,0,0,0.00,0,0,0
340,0.00,0,0,0,0,0.00,0,0,0
390,0.00,0,0,0,0,0.00,0,0,0
440,0.00,0,0,0,0,0.00,0,0,0
490,0.00,0,0,0,0,0.00,0,0,0
540,0.00,0,0,0,0,0.00,0,0,0
590,0.00,0,0,0,0,0.00,0,0,0
640,0.00,0,0,0,0,0.00,0,0,0
690,0.00,0,0,0,0,0.00,0,0,0
740,0.00,0,0,0,0,0.00,0,0,0
790,0.00,0,0,0,0,0.00,0,0,0
840,0.00,0,0,0,0,0.00,0,0,0
890,0.00,0,0,0,0,0.00,0,0,0
940,0.00,0,0,0,0,0.00,0,0,0
990,0.00,0,0,0,0,0.00,0,0,0
1040,0.00,0,0,0,0,0.00,0,0,0
1090,0.00,0,0,0,0,0.00,0,0,0
1140,0.00,0,0,0,0,0.00,0,0,0
1190,0.00,0,0,0,0,0.00,0,0,0
1240,0.00,0,0,0,0,0.00,0,0,0
1290,0.00,0,0,0,0,0.00,0,0,0
1340,0.00,0,0,0,0,0.00,0,0,0
1390,0.00,0,0,0,0,0.00,0,0,0
1440,0.00,0,0,0,0,0.00,0,0,0
1490,0.00,0,0,0,0,0.00,0,0,0
1540,0.00,0,0,0,0,0.00,0,0,0
1590,0.00,0,0,0,0,0.00,0,0,0
1640,0.00,0,0,0,0,0.00,0,0,0
1690,0.00,0,0,0,0,0.00,0,0,0
1740,0.00,0,0,0,0,0.00,0,0,0
1790,0.00,0,0,0,0,0.00,0,0,0
1840,0.00,0,0,0,0,0.00,0,0,0
1890,0.00,0,0,0,0,0.00,0,0,0
1940,0.00,0,0,0,0,0.00,0,0,0
1990,0.00,0,0,0,0,0.00,0,0,0
2040,0.00,0,0,0,0,0.00,0,0,0
2091,0.00,0,0,0,0,0.00,0,0,0
2141,0.00,0,0,0,0,0.00,0,0,0
2191,0.00,0,0,0,0,0.00,0,0,0
2241,0.00,0,0,0,0,0.00,0,0,0
2291,0.00,0,0,0,0,0.00,0,0,0
2341,0.00,0,0,0,0,0.00,0,0,0
2391,0.00,0,0,0,0,0.00,0,0,0
2441,0.00,0,0,0,0,0.00,0,0,0
2491,0.00,0,0,0,0,0.00,0,0,0
2541,0.00,0,0,0,0,0.00,0,0,0
2591,0.00,0,0,0,0,0.00,0,0,0
2641,0.00,0,0,0,0,0.00,0,0,0
2691,0.00,0,0,0,0,0.00,0,0,0
2741,0.00,0,0,0,0,0.00,0,0,0
2791,0.00,0,0,0,0,0.00,0,0,0
2841,0.00,0,0,0,0,0.00,0,0,0
2891,0.00,0,0,0,0,0.00,0,0,0
2941,0.00,0,0,0,0,0.00,0,0,0
2991,0.00,0,0,0,0,0.00,0,0,0
3041,0.00,0,0,0,0,0.00,0,0,0
3091,0.00,0,0,0,0,0.00,0,0,0
3141,0.00,0,0,0,0,0.00,0,0,0
3191,0.00,0,0,0,0,0.00,0,0,0
3241,0.00,0,0,0,0,0.00,0,0,0
3291,0.00,0,0,0,0,0.00,0,0,0
3341,0.00,0,0,0,0,0.00,0,0,0
3391,0.00,0,0,0,0,0.00,0,0,0
3441,0.00,0,0,0,0,0.00,0,0,0
3491,0.00,0,0,0,0,0.00,0,0,0
3542,0.00,0,0,0,0,0.00,0,0,0
3592,0.00,0,0,0,0,0.00,0,0,0
3642,0.00,0,0,0,0,0.00,0,0,0
3692,0.00,0,0,0,0,0.00,0,0,0
3742,0.00,0,0,0,0,0.00,0,0,0
3792,0.00,0,0,0,0,0.00,0,0,0
3842,0.00,0,0,0,0,0.00,0,0,0
3892,0.00,0,0,0,0,0.00,0,0,0
3942,0.00,0,0,0,0,0.00,0,0,0
3992,0.00,0,0,0,0,0.00,0,0,0
4042,0.00,0,0,0,0,0.00,0,0,0
4092,0.00,0,0,0,0,0.00,0,0,0
4142,0.00,0,0,0,0,0.00,0,0,0
4192,0.00,0,0,0,0,0.00,0,0,0
4242,0.00,0,0,0,0,0.00,0,0,0
4292,0.00,0,0,0,0,0.00,0,0,0
4342,0.00,0,0,0,0,0.00,0,0,0
4392,0.00,0,0,0,0,0.00,0,0,0
4442,0.00,0,0,0,0,0.00,0,0,0
4492,0.00,0,0,0,0,0.00,0,0,0
4542,0.00,0,0,0,0,0.00,0,0,0
4592,0.00,0,0,0,0,0.00,0,0,0
4642,0.00,0,0,0,0,0.00,0,0,0
4692,0.00,0,0,0,0,0.00,0,0,0
4742,0.00,0,0,0,0,0.00,0,0,0
4792,0.00,0,0,0,0,0.00,0,0,0
4842,0.00,0,0,0,0,0.00,0,0,0
4892,0.00,0,0,0,0,0.00,0,0,0
4942,0.00,0,0,0,0,0.00,0,0,0
4992,0.00,0,0,0,0,0.00,0,0,0
5042,0.00,0,0,0,0,0.00,0,0,0
5092,0.00,0,0,0,0,0.00,0,0,0
5142,0.00,0,0,0,0,0.00,0,0,0
5192,0.00,0,0,0,0,0.00,0,0,0
5242,0.00,0,0,0,0,0.00,0,0,0
5292,0.00,0,0,0,0,0.00,0,0,0
5342,0.00,0,0,0,0,0.00,0,0,0
5392,0.00,0,0,0,0,0.00,0,0,0
5442,0.00,0,0,0,0,0.00,0,0,0
5492,0.00,0,0,0,0,0.00,0,0,0
5542,0.00,0,0,0,0,0.00,0,0,0
5592,0.00,0,0,0,0,0.00,0,0,0
5642,0.00,0,0,0,0,0.00,0,0,0
5692,0.00,0,0,0,0,0.00,0,0,0
5742,0.00,0,0,0,0,0.00,0,0,0
5792,0.00,0,0,0,0,0.00,0,0,0
5842,0.00,0,0,0,0,0.00,0,0,0
5892,0.00,0,0,0,0,0.00,0,0,0
5942,0.00,0,0,0,0,0.00,0,0,0
5992,0.00,0,0,0,0,0.00,0,0,0
6042,0.00,0,0,0,0,0.00,0,0,0
6092,0.00,0,0,0,0,0.00,0,0,0
6142,0.00,0,0,0,0,0.00,0,0,0
6192,0.00,0,0,0,0,0.00,0,0,0
6242,0.00,0,0,0,0,0.00,0,0,0
6292,0.00,0,0,0,0,0.00,0,0,0
6342,0.00,0,0,0,0,0.00,0,0,0
6392,0.00,0,0,0,0,0.00,0,0,0
6443,0.00,0,0,0,0,0.00,0,0,0
6493,0.00,0,0,0,0,0.00,0,0,0
6543,0.00,0,0,0,0,0.00,0,0,0
6593,0.00,0,0,0,0,0.00,0,0,0
6643,0.00,0,0,0,0,0.00,0,0,0
6693,0.00,0,0,0,0,0.00,0,0,0
6743,0.00,0,0,0,0,0.00,0,0,0
6793,0.00,0,0,0,0,0.00,0,0,0
6843,0.00,0,0,0,0,0.00,0,0,0
6893,0.00,0,0,0,0,0.00,0,0,0
6943,0.00,0,0,0,0,0.00,0,0,0
6993,0.00,0,0,0,0,0.00,0,0,0
7043,0.00,0,0,0,0,0.00,0,0,0
7093,0.00,0,0,0,0,0.00,0,0,0
7143,0.00,0,0,0,0,0.00,0,0,0
7193,0.00,0,0,0,0,0.00,0,0,0
7243,0.00,0,0,0,0,0.00,0,0,0
7293,0.00,0,0,0,0,0.00,0,0,0
7343,0.00,0,0,0,0,0.00,0,0,0
7393,0.00,0,0,0,0,0.00,0,0,0
7443,0.00,0,0,0,0,0.00,0,0,0
7493,0.00,0,0,0,0,0.00,0,0,0
7543,0.00,0,0,0,0,0.00,0,0,0
7593,0.00,0,0,0,0,0.00,0,0,0
7643,0.00,0,0,0,0,0.00,0,0,0
7693,0.00,0,0,0,0,0.00,0,0,0
7743,0.00,0,0,0,0,0.00,0,0,0
7793,0.00,0,0,0,0,0.00,0,0,0
7843,0.00,0,0,0,0,0.00,0,0,0
7894,0.00,0,0,0,0,0.00,0,0,0
7944,0.00,0,0,0,0,0.00,0,0,0
7994,0.00,0,0,0,0,0.00,0,0,0
8044,0.00,0,0,0,0,0.00,0,0,0
8094,0.00,0,0,0,0,0.00,0,0,0
8144,0.00,0,0,0,0,0.00,0,0,0
8194,0.00,0,0,0,0,0.00,0,0,0
8244,0.00,0,0,0,0,0.00,0,0,0
8294,0.00,0,0,0,0,0.00,0,0,0
8344,0.00,0,0,0,0,0.00,0,0,0
8394,0.00,0,0,0,0,0.00,0,0,0
8444,0.00,0,0,0,0,0.00,0,0,0
8494,0.00,0,0,0,0,0.00,0,0,0
8544,0.00,0,0,0,0,0.00,0,0,0
8594,0.00,0,0,0,0,0.00,0,0,0
8644,0.00,0,0,0,0,0.00,0,0,0
8694,0.00,0,0,0,0,0.00,0,0,0
8744,0.00,0,0,0,0,0.00,0,0,0
8794,0.00,0,0,0,0,0.00,0,0,0
8844,0.00,0,0,0,0,0.00,0,0,0
8894,0.00,0,0,0,0,0.00,0,0,0
8944,0.00,0,0,0,0,0.00,0,0,0
8994,0.00,0,0,0,0,0.00,0,0,0
9044,0.00,0,0,0,0,0.00,0,0,0
9094,0.00,0,0,0,0,0.00,0,0,0
9144,0.00,0,0,0,0,0.00,0,0,0
9194,0.00,0,0,0,0,0.00,0,0,0
9244,0.00,0,0,0,0,0.00,0,0,0
9294,0.00,0,0,0,0,0.00,0,0,0
9344,0.00,0,0,0,0,0.00,0,0,0
9394,0.00,0,0,0,0,0.00,0,0,0
9444,0.00,0,0,0,0,0.00,0,0,0
9494,0.00,0,0,0,0,0.00,0,0,0
9544,0.00,0,0,0,0,0.00,0,0,0
9594,0.00,0,0,0,0,0.00,0,0,0
9644,0.00,0,0,0,0,0.00,0,0,0
9694,0.00,0,0,0,0,0.00,0,0,0
9744,0.00,0,0,0,0,0.00,0,0,0
9794,0.00,0,0,0,0,0.00,0,0,0
9844,0.00,0,0,0,0,0.00,0,0,0
9894,0.00,0,0,0,0,0.00,0,0,0
9944,0.00,0,0,0,0,0.00,0,0,0
9994,0.00,0,0,0,0,0.00,0,0,0
10044,0.00,0,0,0,0,0.00,0,0,0
10094,0.00,0,0,0,0,0.00,0,0,0
10144,0.00,0,0,0,0,0.00,0,0,0
10194,0.00,0,0,0,0,0.00,0,0,0
10244,inf,0,0,0,0,0.00,0,0,0
10294,inf,0,0,0,0,0.00,0,0,0
10344,inf,0,0,0,0,0.00,0,0,0
10394,inf,0,0,0,0,0.00,0,0,0
10444,326.24,0,0,0,0,0.00,0,0,0
10494,872.80,0,0,0,0,0.00,0,0,0
10544,880.49,0,0,0,0,0.00,0,0,0
10594,1291.66,0,0,0,0,0.00,0,0,0
10644,1307.42,0,0,0,0,0.00,0,0,0
10694,1631.85,0,0,0,0,0.00,0,0,0
10744,1868.93,0,0,0,0,0.00,0,0,0
10795,1876.88,0,0,0,0,0.00,0,0,0
10845,2059.59,0,0,0,0,0.00,0,0,0
10895,2205.56,0,0,0,0,0.00,0,0,0
10945,2325.94,0,0,0,0,0.00,0,0,0
10995,2441.80,0,0,0,0,0.00,0,0,0
11045,2543.67,0,0,0,0,0.00,0,0,0
11095,2632.50,0,0,0,0,0.00,0,0,0
11145,2782.41,0,0,0,0,0.00,0,0,0
11195,2819.55,0,0,0,0,0.00,0,0,0
11245,2857.69,0,0,0,0,0.00,0,0,0
11295,2889.06,0,0,0,0,0.00,0,0,0
11345,2943.48,0,0,0,0,0.00,0,0,0
11395,3019.32,0,0,0,0,0.00,0,0,0
11445,3026.02,0,0,0,0,0.00,0,0,0
11495,3070.62,0,0,0,0,0.00,0,0,0
11545,3122.40,0,0,0,0,0.00,0,0,0
11595,3161.22,0,0,0,0,0.00,0,0,0
11645,3186.07,0,0,0,0,0.00,0,0,0
11695,3208.56,0,0,0,0,0.00,0,0,0
11745,3250.98,0,0,0,0,0.00,0,0,0
11795,3241.84,0,0,0,0,0.00,0,0,0
11845,3250.27,0,0,0,0,0.00,0,0,0
11895,3276.54,0,0,0,0,0.00,0,0,0
11945,3291.64,0,0,0,0,0.00,0,0,0
11995,3309.80,0,0,0,0,0.00,0,0,0
12045,3353.45,0,0,0,0,0.00,0,0,0
12095,3360.97,0,0,0,0,0.00,0,0,0
12145,3414.52,0,0,0,0,0.00,0,0,0
12195,3406.77,0,0,0,0,0.00,0,0,0
12246,3424.66,0,0,0,0,0.00,0,0,0
12296,3433.28,0,0,0,0,0.00,0,0,0
12346,3360.97,0,0,0,0,0.00,0,0,0
12396,3414.52,0,0,0,0,0.00,0,0,0
12446,3397.51,0,0,0,0,0.00,0,0,0
12496,3406.77,0,0,0,0,0.00,0,0,0
12546,3415.30,0,0,0,0,0.00,0,0,0
12596,3424.66,0,0,0,0,0.00,0,0,0
12646,3397.51,0,0,0,0,0.00,0,0,0
12696,3396.74,0,0,0,0,0.00,0,0,0
12746,3461.80,0,0,0,0,0.00,0,0,0
12796,3397.51,0,0,0,0,0.00,0,0,0
12846,3452.24,0,0,0,0,0.00,0,0,0
12896,3452.24,0,0,0,0,0.00,0,0,0
12946,3451.45,0,0,0,0,0.00,0,0,0
12996,3434.07,0,0,0,0,0.00,0,0,0
13046,3443.53,0,0,0,0,0.00,0,0,0
13096,3424.66,0,0,0,0,0.00,0,0,0
13146,3406.77,0,0,0,0,0.00,0,0,0
13196,3443.53,0,0,0,0,0.00,0,0,0
13246,3452.24,0,0,0,0,0.00,0,0,0
13296,3452.24,0,0,0,0,0.00,0,0,0
13346,3487.56,0,0,0,0,0.00,0,0,0
13396,3415.30,0,0,0,0,0.00,0,0,0
13446,3472.22,0,0,0,0,0.00,0,0,0
13496,3434.07,0,0,0,0,0.00,0,0,0
13546,3480.28,0,0,0,0,0.00,0,0,0
13596,3461.80,0,0,0,0,0.00,0,0,0
13646,3471.42,0,0,0,0,0.00,0,0,0
13696,3471.42,0,0,0,0,0.00,0,0,0
13746,3459.41,0,0,0,0,0.00,0,0,0
13796,3498.95,0,0,0,0,0.00,0,0,0
13846,3481.09,0,0,0,0,0.00,0,0,0
13896,3529.41,0,0,0,0,0.00,0,0,0
13946,3519.47,0,0,0,0,0.00,0,0,0
13996,3568.88,0,0,0,0,0.00,0,0,0
14046,3527.75,0,0,0,0,0.00,0,0,0
14096,3537.74,0,0,0,0,0.00,0,0,0
14146,3527.75,0,0,0,0,0.00,0,0,0
14196,3558.72,0,0,0,0,0.00,0,0,0
14246,3568.88,0,0,0,0,0.00,0,0,0
14296,3562.95,0,0,0,0,0.00,0,0,0
14346,3608.37,0,0,0,0,0.00,0,0,0
14396,3565.49,0,0,0,0,0.00,0,0,0
14446,3568.88,0,0,0,0,0.00,0,0,0
14496,3547.78,0,0,0,0,0.00,0,0,0
14546,3566.33,0,0,0,0,0.00,0,0,0
14596,3549.46,0,0,0,0,0.00,0,0,0
14646,3557.03,0,0,0,0,0.00,0,0,0
14696,3539.41,0,0,0,0,0.00,0,0,0
14746,3538.57,0,0,0,0,0.00,0,0,0
14796,3529.41,0,0,0,0,0.00,0,0,0
14846,3529.41,0,0,0,0,0.00,0,0,0
14896,3539.41,0,0,0,0,0.00,0,0,0
14946,3576.54,0,0,0,0,0.00,0,0,0
14996,3558.72,0,0,0,0,0.00,0,0,0
15046,3579.10,0,0,0,0,0.00,0,0,0
15096,3567.18,0,0,0,0,0.00,0,0,0
15147,3588.52,0,0,0,0,0.00,0,0,0
15197,3576.54,0,0,0,0,0.00,0,0,0
15247,3618.82,0,0,0,0,0.00,0,0,0
15297,3585.09,0,0,0,0,0.00,0,0,0
15347,3586.80,0,0,0,0,0.00,0,0,0
15397,3573.98,0,0,0,0,0.00,0,0,0
15447,3608.37,0,0,0,0,0.00,0,0,0
15497,3585.09,0,0,0,0,0.00,0,0,0
15547,3557.03,0,0,0,0,0.00,0,0,0
15597,3568.03,0,0,0,0,0.00,0,0,0
15647,3558.72,0,0,0,0,0.00,0,0,0
15697,3568.88,0,0,0,0,0.00,0,0,0
15747,3573.13,0,0,0,0,0.00,0,0,0
15797,3574.83,0,0,0,0,0.00,0,0,0
15847,3537.74,0,0,0,0,0.00,0,0,0
15897,3539.41,0,0,0,0,0.00,0,0,0
15947,3529.41,0,0,0,0,0.00,0,0,0
15997,3586.80,0,0,0,0,0.00,0,0,0
16047,3573.98,0,0,0,0,0.00,0,0,0
16097,3608.37,0,0,0,0,0.00,0,0,0
16147,3583.37,0,0,0,0,0.00,0,0,0
16197,3616.20,0,0,0,0,0.00,0,0,0
16247,3576.54,0,0,0,0,0.00,0,0,0
16297,3618.82,0,0,0,0,0.00,0,0,0
16347,3603.17,0,0,0,0,0.00,0,0,0
