Microcontroller Governor - No Load
Trial: 2
Date: 4-5-2023
Time: 2:45 PM
Ambient Temp: 82
Head Temp: 190.0

------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:  Kp: 0.013  KpAlt: 0.025  Kd: 0.100  KdAlt: 4.000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                 300
                             |
RPM Precision:       20      |  PID Kp Alt Range:        70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID p Alt, PID d, RPM Change, P Cmd, P Alt Cmd, D Cmd
1733,0.00,0,0,0,0,0.00,0,0,0
1783,0.00,0,0,0,0,0.00,0,0,0
1833,0.00,0,0,0,0,0.00,0,0,0
1883,0.00,0,0,0,0,0.00,0,0,0
1933,0.00,0,0,0,0,0.00,0,0,0
1983,0.00,0,0,0,0,0.00,0,0,0
2033,0.00,0,0,0,0,0.00,0,0,0
2083,0.00,0,0,0,0,0.00,0,0,0
2134,0.00,0,0,0,0,0.00,0,0,0
2184,0.00,0,0,0,0,0.00,0,0,0
2234,0.00,0,0,0,0,0.00,0,0,0
2284,0.00,0,0,0,0,0.00,0,0,0
2334,0.00,0,0,0,0,0.00,0,0,0
2384,0.00,0,0,0,0,0.00,0,0,0
2434,0.00,0,0,0,0,0.00,0,0,0
2484,0.00,0,0,0,0,0.00,0,0,0
2534,0.00,0,0,0,0,0.00,0,0,0
2584,0.00,0,0,0,0,0.00,0,0,0
2634,0.00,0,0,0,0,0.00,0,0,0
2684,0.00,0,0,0,0,0.00,0,0,0
2734,0.00,0,0,0,0,0.00,0,0,0
2784,0.00,0,0,0,0,0.00,0,0,0
2834,0.00,0,0,0,0,0.00,0,0,0
2884,0.00,0,0,0,0,0.00,0,0,0
2934,0.00,0,0,0,0,0.00,0,0,0
2984,0.00,0,0,0,0,0.00,0,0,0
3034,0.00,0,0,0,0,0.00,0,0,0
3084,0.00,0,0,0,0,0.00,0,0,0
3134,0.00,0,0,0,0,0.00,0,0,0
3184,0.00,0,0,0,0,0.00,0,0,0
3234,0.00,0,0,0,0,0.00,0,0,0
3284,0.00,0,0,0,0,0.00,0,0,0
3334,0.00,0,0,0,0,0.00,0,0,0
3384,0.00,0,0,0,0,0.00,0,0,0
3434,0.00,0,0,0,0,0.00,0,0,0
3484,0.00,0,0,0,0,0.00,0,0,0
3534,0.00,0,0,0,0,0.00,0,0,0
3584,0.00,0,0,0,0,0.00,0,0,0
3634,0.00,0,0,0,0,0.00,0,0,0
3684,0.00,0,0,0,0,0.00,0,0,0
3734,0.00,0,0,0,0,0.00,0,0,0
3784,0.00,0,0,0,0,0.00,0,0,0
3834,0.00,0,0,0,0,0.00,0,0,0
3884,0.00,0,0,0,0,0.00,0,0,0
3934,0.00,0,0,0,0,0.00,0,0,0
3984,0.00,0,0,0,0,0.00,0,0,0
4034,0.00,0,0,0,0,0.00,0,0,0
4084,0.00,0,0,0,0,0.00,0,0,0
4134,0.00,0,0,0,0,0.00,0,0,0
4184,0.00,0,0,0,0,0.00,0,0,0
4234,0.00,0,0,0,0,0.00,0,0,0
4284,0.00,0,0,0,0,0.00,0,0,0
4334,0.00,0,0,0,0,0.00,0,0,0
4384,0.00,0,0,0,0,0.00,0,0,0
4434,0.00,0,0,0,0,0.00,0,0,0
4484,0.00,0,0,0,0,0.00,0,0,0
4534,0.00,0,0,0,0,0.00,0,0,0
4584,0.00,0,0,0,0,0.00,0,0,0
4634,0.00,0,0,0,0,0.00,0,0,0
4684,0.00,0,0,0,0,0.00,0,0,0
4734,0.00,0,0,0,0,0.00,0,0,0
4784,0.00,0,0,0,0,0.00,0,0,0
4834,0.00,0,0,0,0,0.00,0,0,0
4884,0.00,0,0,0,0,0.00,0,0,0
4934,0.00,0,0,0,0,0.00,0,0,0
4984,0.00,0,0,0,0,0.00,0,0,0
5035,0.00,0,0,0,0,0.00,0,0,0
5085,0.00,0,0,0,0,0.00,0,0,0
5135,0.00,0,0,0,0,0.00,0,0,0
5185,0.00,0,0,0,0,0.00,0,0,0
5235,0.00,0,0,0,0,0.00,0,0,0
5285,0.00,0,0,0,0,0.00,0,0,0
5335,0.00,0,0,0,0,0.00,0,0,0
5385,0.00,0,0,0,0,0.00,0,0,0
5435,0.00,0,0,0,0,0.00,0,0,0
5485,0.00,0,0,0,0,0.00,0,0,0
5535,0.00,0,0,0,0,0.00,0,0,0
5585,0.00,0,0,0,0,0.00,0,0,0
5635,0.00,0,0,0,0,0.00,0,0,0
5685,0.00,0,0,0,0,0.00,0,0,0
5735,0.00,0,0,0,0,0.00,0,0,0
5785,0.00,0,0,0,0,0.00,0,0,0
5835,0.00,0,0,0,0,0.00,0,0,0
5885,0.00,0,0,0,0,0.00,0,0,0
5935,0.00,0,0,0,0,0.00,0,0,0
5985,0.00,0,0,0,0,0.00,0,0,0
6035,0.00,0,0,0,0,0.00,0,0,0
6085,0.00,0,0,0,0,0.00,0,0,0
6135,0.00,0,0,0,0,0.00,0,0,0
6185,0.00,0,0,0,0,0.00,0,0,0
6235,0.00,0,0,0,0,0.00,0,0,0
6285,0.00,0,0,0,0,0.00,0,0,0
6335,0.00,0,0,0,0,0.00,0,0,0
6385,0.00,0,0,0,0,0.00,0,0,0
6435,0.00,0,0,0,0,0.00,0,0,0
6486,0.00,0,0,0,0,0.00,0,0,0
6536,0.00,0,0,0,0,0.00,0,0,0
6586,0.00,0,0,0,0,0.00,0,0,0
6636,0.00,0,0,0,0,0.00,0,0,0
6686,0.00,0,0,0,0,0.00,0,0,0
6736,0.00,0,0,0,0,0.00,0,0,0
6786,0.00,0,0,0,0,0.00,0,0,0
6836,0.00,0,0,0,0,0.00,0,0,0
6886,0.00,0,0,0,0,0.00,0,0,0
6936,0.00,0,0,0,0,0.00,0,0,0
6986,0.00,0,0,0,0,0.00,0,0,0
7036,0.00,0,0,0,0,0.00,0,0,0
7086,0.00,0,0,0,0,0.00,0,0,0
7136,0.00,0,0,0,0,0.00,0,0,0
7186,0.00,0,0,0,0,0.00,0,0,0
7236,0.00,0,0,0,0,0.00,0,0,0
7286,0.00,0,0,0,0,0.00,0,0,0
7336,0.00,0,0,0,0,0.00,0,0,0
7386,0.00,0,0,0,0,0.00,0,0,0
7436,0.00,0,0,0,0,0.00,0,0,0
7486,0.00,0,0,0,0,0.00,0,0,0
7536,0.00,0,0,0,0,0.00,0,0,0
7586,0.00,0,0,0,0,0.00,0,0,0
7636,0.00,0,0,0,0,0.00,0,0,0
7686,0.00,0,0,0,0,0.00,0,0,0
7736,0.00,0,0,0,0,0.00,0,0,0
7786,0.00,0,0,0,0,0.00,0,0,0
7836,0.00,0,0,0,0,0.00,0,0,0
7886,0.00,0,0,0,0,0.00,0,0,0
7936,0.00,0,0,0,0,0.00,0,0,0
7986,0.00,0,0,0,0,0.00,0,0,0
8036,0.00,0,0,0,0,0.00,0,0,0
8086,0.00,0,0,0,0,0.00,0,0,0
8136,0.00,0,0,0,0,0.00,0,0,0
8186,0.00,0,0,0,0,0.00,0,0,0
8236,0.00,0,0,0,0,0.00,0,0,0
8286,0.00,0,0,0,0,0.00,0,0,0
8336,0.00,0,0,0,0,0.00,0,0,0
8386,0.00,0,0,0,0,0.00,0,0,0
8436,0.00,0,0,0,0,0.00,0,0,0
8486,0.00,0,0,0,0,0.00,0,0,0
8536,0.00,0,0,0,0,0.00,0,0,0
8586,0.00,0,0,0,0,0.00,0,0,0
8636,0.00,0,0,0,0,0.00,0,0,0
8686,0.00,0,0,0,0,0.00,0,0,0
8736,0.00,0,0,0,0,0.00,0,0,0
8786,0.00,0,0,0,0,0.00,0,0,0
8836,0.00,0,0,0,0,0.00,0,0,0
8886,0.00,0,0,0,0,0.00,0,0,0
8936,0.00,0,0,0,0,0.00,0,0,0
8986,0.00,0,0,0,0,0.00,0,0,0
9036,0.00,0,0,0,0,0.00,0,0,0
9086,0.00,0,0,0,0,0.00,0,0,0
9136,0.00,0,0,0,0,0.00,0,0,0
9186,0.00,0,0,0,0,0.00,0,0,0
9236,0.00,0,0,0,0,0.00,0,0,0
9286,0.00,0,0,0,0,0.00,0,0,0
9336,0.00,0,0,0,0,0.00,0,0,0
9387,0.00,0,0,0,0,0.00,0,0,0
9437,0.00,0,0,0,0,0.00,0,0,0
9487,0.00,0,0,0,0,0.00,0,0,0
9537,0.00,0,0,0,0,0.00,0,0,0
9587,0.00,0,0,0,0,0.00,0,0,0
9637,0.00,0,0,0,0,0.00,0,0,0
9687,0.00,0,0,0,0,0.00,0,0,0
9737,0.00,0,0,0,0,0.00,0,0,0
9787,0.00,0,0,0,0,0.00,0,0,0
9837,0.00,0,0,0,0,0.00,0,0,0
9887,0.00,0,0,0,0,0.00,0,0,0
9937,0.00,0,0,0,0,0.00,0,0,0
9987,0.00,0,0,0,0,0.00,0,0,0
10037,0.00,0,0,0,0,0.00,0,0,0
10087,0.00,0,0,0,0,0.00,0,0,0
10137,0.00,0,0,0,0,0.00,0,0,0
10187,0.00,0,0,0,0,0.00,0,0,0
10237,0.00,0,0,0,0,0.00,0,0,0
10287,0.00,0,0,0,0,0.00,0,0,0
10337,0.00,0,0,0,0,0.00,0,0,0
10387,0.00,0,0,0,0,0.00,0,0,0
10437,0.00,0,0,0,0,0.00,0,0,0
10487,inf,0,0,0,0,inf,0,0,0
10537,inf,0,0,0,0,inf,0,0,0
10587,656.69,1,38,0,0,inf,38,0,0
10637,695.47,35,37,0,-1,-38.79,75,0,1
10687,695.47,0,37,0,-1,-38.79,75,0,1
10737,1041.96,0,33,0,-24,-346.48,108,0,25
10787,1038.85,0,33,0,0,3.10,141,0,25
10838,1423.56,26,28,0,-1,-13.65,197,0,62
10888,1657.82,0,25,0,-26,-234.27,222,0,88
10938,1661.31,0,25,0,0,-3.49,247,0,88
10988,1902.83,5,22,0,-1,-13.90,291,0,117
11038,2120.14,9,19,0,-1,-12.22,329,0,147
11088,2293.93,8,16,0,-1,-8.74,362,0,172
11138,2450.18,8,14,0,1,8.03,390,0,199
11188,2588.44,5,13,0,3,19.35,415,0,228
11238,2715.92,0,11,0,0,13.84,437,0,228
11288,2945.80,4,8,0,0,-123.06,465,0,228
11338,3065.60,0,6,0,0,-126.16,479,0,228
11388,3162.56,0,5,0,0,14.06,496,0,228
11438,3386.00,1,2,0,0,-123.01,506,0,228
11488,3469.01,0,1,0,0,-109.55,510,0,228
11538,3523.61,0,0,0,0,102.21,513,0,238
11588,3690.94,0,-1,0,0,-85.18,514,0,238
11638,3958.83,-6,-4,0,-3,-456.61,522,1,255
11688,3749.06,0,-1,0,0,20.73,526,1,255
11738,3874.97,0,-3,0,0,-63.02,533,1,255
11788,3823.60,0,-2,0,0,25.51,541,1,255
11838,3916.45,0,-4,0,0,-56.44,551,1,255
11888,3914.40,0,-4,0,0,25.71,562,1,255
11938,3900.16,0,-3,0,0,24.49,578,1,260
11988,3954.65,0,-4,0,0,-40.25,590,1,260
12038,3874.97,0,-3,0,0,27.22,600,1,260
12088,3900.16,0,-3,0,0,-25.19,609,1,260
12138,3870.97,0,-3,0,0,15.04,622,1,263
12188,3847.14,0,-3,0,0,27.83,631,1,263
12238,3875.97,0,-3,0,0,-39.65,640,1,263
12288,3848.13,0,-3,0,0,25.84,649,1,263
12338,3810.98,0,-2,0,0,-12.55,655,1,263
12388,3836.32,-1,-3,0,0,-39.81,665,1,264
12438,3760.34,0,-2,0,0,26.58,671,1,264
12488,3810.98,0,-2,0,0,-25.96,677,1,264
12538,3797.47,0,-2,0,0,14.48,683,1,264
12588,3798.43,0,-2,0,0,-13.42,689,1,264
12638,3711.95,0,-1,0,0,86.48,694,1,264
12688,3710.12,0,-1,0,0,31.47,698,1,264
12738,3695.49,0,-1,0,0,135.93,702,1,272
12788,3662.11,0,0,-1,0,22.49,713,2,295
12838,3700.96,0,-1,0,0,-25.39,715,2,295
12888,3626.69,0,0,0,0,20.28,715,4,295
12938,3672.87,0,0,0,0,-34.74,715,5,295
12988,3648.75,0,0,-1,0,11.57,715,8,295
13038,3625.82,0,0,0,0,25.60,716,9,295
13088,3604.04,0,0,0,0,-28.82,716,9,295
13138,3643.43,0,0,-1,0,-38.53,716,10,295
13188,3564.64,0,0,0,0,29.90,716,10,295
13238,3563.79,0,0,0,0,-31.06,716,12,295
13288,3556.19,0,0,1,0,21.20,716,14,295
13338,3534.40,0,0,1,0,-24.81,717,16,295
13388,3534.40,0,0,1,0,32.78,718,17,295
13438,3556.19,0,0,1,0,20.35,718,18,295
13488,3562.10,0,0,0,0,359.47,726,18,300
13538,3520.30,0,1,0,0,23.29,727,19,300
13588,3510.41,0,1,0,0,26.49,728,21,300
13638,3509.59,0,1,0,0,25.64,730,22,300
13688,3585.94,0,0,1,0,23.45,730,24,300
13739,3564.64,0,0,0,0,23.88,730,24,300
13789,3600.58,0,0,0,0,24.04,730,24,300
13839,3604.90,0,0,0,0,-38.05,730,24,300
13889,3586.80,0,0,0,0,-32.34,730,24,300
13939,3578.24,0,0,0,0,31.00,730,25,300
13989,3614.46,0,0,0,0,-46.70,730,25,300
14039,3616.20,0,0,0,0,-39.07,730,25,300
14089,3662.11,0,0,-1,0,-35.42,730,27,300
14139,3637.25,0,0,0,0,10.61,730,29,300
14189,3672.87,0,0,0,0,-34.74,730,30,300
14239,3653.19,0,0,-1,0,20.58,730,31,300
14289,3649.63,0,0,-1,0,-9.74,731,32,300
14339,3625.82,0,0,0,0,30.94,731,33,300
14389,3673.77,0,0,0,0,-36.52,731,34,300
14439,3638.13,0,0,0,0,23.98,731,35,300
14489,3683.69,0,-1,0,0,-37.61,732,37,300
14539,3503.04,0,1,0,0,376.94,737,37,317
14589,3636.36,0,0,0,0,15.05,743,38,321
14639,3683.69,0,-1,0,0,-30.50,744,39,321
14689,3614.46,0,0,-1,0,-4.43,744,41,321
14739,3600.58,0,0,0,0,25.71,744,41,321
14789,3577.39,0,0,0,0,31.85,744,41,321
14839,3556.19,0,0,1,0,22.06,744,42,321
14889,3584.23,0,-5,0,-5,-848.65,754,42,327
14939,3572.28,0,0,0,0,399.13,762,42,331
14989,3581.66,0,0,-1,0,-132.64,763,43,331
15039,3521.13,0,1,0,0,22.46,764,44,331
15089,3587.66,0,0,1,0,16.08,764,45,331
15139,3532.74,0,0,1,0,31.06,764,47,331
15190,3574.83,0,0,0,0,-42.10,764,48,331
15240,3556.19,0,0,1,0,19.50,764,50,331
15290,3564.64,0,0,0,0,-21.89,764,52,331
15340,3564.64,0,0,0,0,22.16,764,53,331
15390,3590.23,0,0,0,0,34.44,764,53,331
15440,3567.18,0,0,0,0,33.39,764,53,331
15490,3576.54,0,0,0,0,-19.51,764,54,331
15540,3555.34,0,0,1,0,32.31,764,55,331
15590,3575.69,0,0,0,0,-43.78,764,57,331
15640,3573.13,0,0,0,0,14.53,764,58,331
15690,3620.56,0,0,0,0,-38.05,764,58,331
15740,3596.26,0,0,0,0,-38.05,764,58,331
15790,3597.98,0,0,1,0,29.57,764,59,331
15840,3576.54,0,0,0,0,24.04,764,59,331
15890,3587.66,0,0,1,0,15.13,764,61,331
15940,3585.09,0,0,0,0,19.63,764,61,331
15990,3643.43,0,0,-1,0,-37.66,764,62,331
16040,3625.82,0,0,0,0,17.61,764,63,331
16090,3639.01,0,0,0,0,-12.32,764,64,331
16140,3625.82,0,0,0,0,17.61,764,65,331
16190,3672.87,0,0,0,0,-31.21,764,66,331
16240,3652.30,0,0,-1,0,32.30,765,68,331
16290,3661.22,0,0,-1,0,-35.40,765,70,331
16340,3663.00,0,0,-1,0,21.59,766,72,331
16390,3671.97,0,0,0,0,-22.34,766,74,331
16440,3612.72,0,0,-1,0,0.89,766,76,331
16490,3672.87,0,0,0,0,-35.62,766,77,331
16540,3626.69,0,0,0,0,22.05,766,79,331
16590,3585.94,0,0,0,0,-2.63,766,79,331
16640,3583.37,0,0,1,0,27.22,766,80,331
16690,3619.69,0,0,1,0,27.22,766,80,331
16740,3544.42,0,0,1,0,20.22,766,81,331
16790,3611.85,0,0,0,0,35.04,766,81,331
16840,3592.81,0,0,0,0,-44.24,766,81,331
16890,3609.24,0,0,0,0,-29.50,766,81,331
16940,3595.40,0,0,0,0,-29.50,766,81,331
16990,3576.54,0,0,0,0,0.85,766,81,331
17040,3573.98,0,0,0,0,11.96,766,82,331
17090,3598.85,0,0,1,0,20.37,766,83,331
17140,3562.95,0,0,0,0,26.43,766,83,331
17190,3600.58,0,0,0,0,24.04,766,83,331
17240,3573.98,0,0,0,0,17.11,766,83,331
17290,3564.64,0,0,0,0,-20.22,766,85,331
17340,3556.19,0,0,1,0,19.50,766,87,331
17390,3623.19,0,0,0,0,-49.21,766,87,331
17440,3594.54,0,0,0,0,-41.67,766,87,331
17490,3620.56,0,0,0,0,-25.17,766,87,331
17540,3604.90,0,0,0,0,-22.61,766,87,331
17590,3663.00,0,0,-1,0,-46.80,766,88,331
17640,3625.82,0,0,0,0,24.71,766,89,331
17690,3650.52,0,0,-1,0,-13.28,766,91,331
17740,3615.33,0,0,-1,0,-21.20,766,92,331
17790,3601.44,0,0,0,0,-8.73,766,92,331
17840,3586.80,0,0,0,0,-8.73,766,92,331
17890,3741.58,-6,-1,0,-10,-263.72,768,92,341
17940,3594.54,0,-1,0,-10,-263.72,768,92,341
17990,3612.72,0,-1,0,-10,-263.72,768,92,341
18040,3591.95,0,0,0,0,-25.17,768,92,341
18091,3610.98,0,0,0,0,-25.17,768,92,341
18141,3596.26,0,0,0,0,-25.17,768,92,341
18191,3639.01,0,0,0,0,-42.75,768,92,341
18241,3614.46,0,0,-1,0,-28.96,768,93,341
18291,3640.78,0,0,-1,0,-26.32,768,95,341
18341,3615.33,0,0,-1,0,-24.60,768,96,341
18391,3615.33,0,0,0,0,-18.39,768,96,341
18441,3534.40,0,0,1,0,28.54,768,97,341
18491,3575.69,0,0,0,0,-19.50,768,98,341
18541,3555.34,0,0,1,0,32.31,768,99,341
18591,3586.80,0,0,1,0,19.37,768,100,341
18641,3534.40,0,0,1,0,29.39,768,102,341
18691,3588.52,0,0,1,0,30.24,768,103,341
18741,3564.64,0,0,0,0,21.30,768,104,341
18791,3564.64,0,0,0,0,-20.22,768,105,341
18841,3563.79,0,0,0,0,-33.55,768,106,341
18891,3548.62,0,0,1,0,517.53,779,107,349
18941,3605.77,0,-4,0,-4,-717.23,787,107,354
18991,3604.04,0,-5,0,-5,-717.75,796,107,359
19041,3647.86,0,0,-1,0,166.02,799,108,372
19091,3617.07,0,-4,0,-3,-578.29,806,108,375
